"Player","Class","Pos","Height","Summary"
"Justin Alston","SR","F","6-8","8.8 Pts, 4.9 Reb, 1.5 Ast"
"Kamali Chambers","FR","G","5-11","1.2 Pts, 0.4 Reb, 0.4 Ast"
"Nathan Dieudonne","SR","F","6-7","9.7 Pts, 7.8 Reb, 2.1 Ast"
"Eric Fanning","JR","G","6-5","15.2 Pts, 5.4 Reb, 1.6 Ast"
"Kyle Foreman","FR","G","6-1","9.2 Pts, 2.7 Reb, 3.9 Ast"
"Will Goff","SO","G","6-3","3.6 Pts, 1.6 Reb, 0.6 Ast"
"Dylan Haines","JR","F","7-0","3.1 Pts, 2.7 Reb, 0.5 Ast"
"Cedric Hankerson","JR","G","6-5","10.0 Pts, 3.0 Reb, 0.0 Ast"
"Nick Havener","SO","F","6-8","6.7 Pts, 6.1 Reb, 1.3 Ast"
"Brandon Johnson","FR","G","6-4","1.5 Pts, 0.4 Reb, 0.2 Ast"
"Eric Johnson","SO","G","6-2","4.2 Pts, 1.0 Reb, 1.9 Ast"
"Braiten Madrigal","JR","G","6-4","6.0 Pts, 5.0 Reb, 2.0 Ast"
"Blaise Mbargorba","JR","C","6-11","4.3 Pts, 2.6 Reb, 0.2 Ast"
"Cheddi Mosely","SO","G","6-3","13.3 Pts, 2.9 Reb, 1.0 Ast"
"John Papale","SR","G","6-3","11.9 Pts, 2.6 Reb, 2.1 Ast"
