"Rk","School","G","W","L","W.L.","SRS","SOS","W.1","L.1","W.2","L.2","W.3","L.3","Tm.","Opp.","X.","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF"
"1","Abilene Christian","22","10","12",".455","-10.48","-5.82","4","7","8","3","2","9","1503","1532","","900","538","1153",".467","149","400",".373","278","423",".657","157","678","296","163","68","318","483"
"2","Air Force","23","10","13",".435","-1.35","-0.15","3","7","10","4","0","7","1756","1721","","930","589","1333",".442","196","510",".384","382","527",".725","239","847","354","134","41","273","419"
"3","Akron","24","20","4",".833","4.27","-1.81","10","1","11","0","4","4","1887","1693","","960","646","1355",".477","250","663",".377","345","511",".675","239","847","351","126","78","283","439"
"4","Alabama A&M","22","1","21",".045","-27.89","-9.75","1","10","0","8","1","13","1310","1709","","880","462","1164",".397","94","350",".269","290","441",".658","206","653","237","81","36","291","387"
"5","Alabama-Birmingham","24","14","10",".583","0.99","-1.67","7","4","9","2","4","6","1772","1679","","970","617","1315",".469","152","423",".359","386","516",".748","228","873","377","124","116","340","402"
"6","Alabama State","23","7","16",".304","-18.43","-9.43","5","6","5","3","1","12","1474","1665","","925","525","1352",".388","150","524",".286","274","442",".620","303","861","226","122","69","365","454"
"7","Alabama","23","14","9",".609","10.07","5.86","7","4","8","3","3","4","1616","1519","","940","551","1301",".424","160","498",".321","354","543",".652","292","921","269","155","107","331","457"
"8","Albany (NY)","26","15","11",".577","-0.40","-3.60","6","5","8","4","6","6","1877","1756","","1040","684","1456",".470","128","357",".359","381","507",".751","297","941","322","144","37","319","463"
"9","Alcorn State","22","11","11",".500","-12.75","-7.64","8","3","8","2","3","9","1504","1515","","880","540","1294",".417","151","468",".323","273","415",".658","267","857","303","143","80","315","430"
"10","American","23","5","18",".217","-10.30","-2.56","2","10","4","9","1","9","1405","1583","","925","529","1189",".445","123","414",".297","224","362",".619","157","660","252","160","54","304","432"
"11","Appalachian State","22","6","16",".273","-7.50","-0.35","1","10","5","4","1","12","1641","1657","","885","555","1298",".428","187","531",".352","344","499",".689","247","827","310","116","73","300","466"
"12","Arizona State","24","11","13",".458","4.89","6.27","4","7","7","4","3","5","1948","1981","","960","667","1505",".443","240","649",".370","374","502",".745","230","812","314","143","80","255","422"
"13","Arizona","24","21","3",".875","17.63","5.96","10","1","12","0","6","1","1807","1527","","960","627","1320",".475","152","394",".386","401","524",".765","249","892","333","141","77","286","398"
"14","Arkansas-Little Rock","24","13","11",".542","-4.79","-4.07","4","7","8","5","3","5","1729","1674","","970","615","1356",".454","159","447",".356","340","454",".749","234","803","300","138","84","294","428"
"15","Arkansas-Pine Bluff","25","6","19",".240","-20.28","-8.42","5","6","5","3","1","16","1570","1810","","1025","555","1383",".401","163","495",".329","297","452",".657","262","800","273","221","67","442","569"
