"Rk","School","Conf","X.","W","L","Pts","Opp","MOV","X..1","SOS","X..2","OSRS","DSRS","SRS","ORtg","DRtg","NRtg"
"1","West Virginia","Big 12","","20","6","85.7","66.5","19.23","","7.22","","17.30","9.15","26.45","120.02","84.16","35.85"
"2","Gonzaga","WCC","","26","0","85.1","61.7","23.38","","2.43","","14.37","11.45","25.81","120.49","83.75","36.73"
"3","Kentucky","SEC","","21","5","89.1","73.1","16.00","","9.38","","19.78","5.61","25.38","121.24","86.90","34.35"
"4","Louisville","ACC","","21","5","77.2","63.2","14.04","","10.89","","10.25","14.68","24.93","116.89","81.28","35.61"
"5","North Carolina","ACC","","21","5","87.4","72.1","15.27","","10.01","","18.03","6.15","24.17","122.43","89.14","33.29"
"6","Virginia","ACC","","18","6","69.3","55.1","14.25","","9.58","","1.95","21.88","23.83","119.00","81.62","37.38"
"7","Villanova","Big East","","25","2","77.3","62.7","14.56","","9.15","","9.13","14.57","23.71","122.49","87.06","35.43"
"8","Florida","SEC","","21","5","80.4","66.4","14.00","","9.60","","12.07","11.53","23.60","117.89","84.68","33.22"
"9","Kansas","Big 12","","23","3","83.5","72.4","11.08","","12.03","","16.34","6.77","23.11","123.04","90.08","32.96"
"10","Duke","ACC","","20","5","81.9","68.0","13.88","","8.80","","12.74","9.94","22.68","121.25","88.96","32.29"
"11","Purdue","Big Ten","","21","5","81.3","66.2","15.19","","7.06","","12.37","9.88","22.25","119.04","87.06","31.99"
"12","Florida State","ACC","","21","5","84.3","71.1","13.19","","8.34","","14.95","6.58","21.53","118.97","88.59","30.38"
"13","Baylor","Big 12","","22","4","74.0","62.2","11.73","","11.05","","5.16","15.93","21.09","117.40","85.67","31.73"
"14","UCLA","Pac-12","","23","3","91.9","76.0","15.96","","4.91","","22.50","-1.63","20.87","124.94","96.69","28.25"
"15","Oregon","Pac-12","","22","4","79.0","64.4","14.54","","7.24","","8.13","12.67","20.80","115.88","86.56","29.32"
"16","Wichita State","MVC","","23","4","81.6","62.6","19.00","","2.13","","10.33","10.38","20.71","115.25","86.02","29.22"
"17","Wisconsin","Big Ten","","21","4","73.8","60.4","13.40","","7.18","","3.89","16.70","20.58","115.81","84.79","31.02"
"18","Creighton","Big East","","21","4","85.0","71.9","13.08","","7.41","","14.69","5.01","19.70","119.25","91.47","27.78"
"19","Oklahoma State","Big 12","","16","9","86.4","77.5","8.84","","10.70","","18.93","0.32","19.24","122.84","96.31","26.53"
"20","Cincinnati","AAC","","22","3","76.0","61.2","14.76","","4.32","","5.01","14.08","19.08","114.45","86.54","27.91"
"21","Iowa State","Big 12","","15","9","80.3","70.3","9.96","","9.07","","9.90","9.13","19.03","114.53","88.61","25.92"
"22","Notre Dame","ACC","","20","7","79.4","69.6","9.85","","9.09","","11.46","7.49","18.94","120.29","92.67","27.62"
"23","Southern Methodist","AAC","","22","4","72.7","58.0","14.73","","3.63","","4.02","14.34","18.36","118.10","88.88","29.22"
"24","Butler","Big East","","19","6","75.6","67.6","7.96","","9.98","","7.51","10.44","17.94","117.79","91.13","26.66"
"25","Arizona","Pac-12","","23","3","74.7","63.5","11.23","","6.43","","6.05","11.62","17.66","115.94","89.91","26.03"
"26","South Carolina","SEC","","20","5","73.4","63.1","10.28","","7.53","","3.77","13.30","17.08","107.37","82.24","25.13"
"27","Xavier","Big East","","18","7","75.9","70.1","5.80","","11.09","","9.13","7.76","16.89","116.38","91.31","25.08"
"28","Michigan","Big Ten","","16","9","74.6","65.5","9.08","","7.59","","5.55","11.13","16.67","121.29","95.69","25.60"
"29","Indiana","Big Ten","","15","11","80.6","71.6","8.96","","6.97","","11.52","4.41","15.93","117.24","94.76","22.48"
"30","Saint Mary's (CA)","WCC","","22","3","71.5","56.6","14.84","","0.99","","0.42","15.41","15.83","119.13","92.57","26.56"
"31","Miami (FL)","ACC","","16","8","72.4","64.5","7.92","","7.76","","2.64","13.04","15.67","111.95","89.11","22.84"
"32","Kansas State","Big 12","","16","9","74.0","66.5","7.44","","8.15","","5.06","10.52","15.59","113.67","90.58","23.10"
"33","Northwestern","Big Ten","","19","6","73.5","64.4","9.12","","6.43","","3.79","11.76","15.55","111.31","88.50","22.81"
"34","Texas Christian","Big 12","","17","8","74.9","68.4","6.52","","9.07","","6.76","8.35","15.12","113.83","91.86","21.98"
"35","Texas Tech","Big 12","","17","9","75.5","66.2","9.23","","5.83","","4.29","10.77","15.06","117.40","94.61","22.79"
"36","Syracuse","ACC","","16","11","76.5","70.3","6.26","","8.54","","8.00","6.80","14.80","116.62","94.67","21.95"
"37","Wake Forest","ACC","","15","11","81.9","76.7","5.23","","9.55","","13.93","0.86","14.78","119.02","97.86","21.15"
