Id,Pred
2017_1112_1116,0.5
2017_1112_1124,0.5
2017_1112_1137,0.5
2017_1112_1139,0.5
2017_1112_1153,0.5
2017_1112_1166,0.5
2017_1112_1173,0.5
2017_1112_1181,0.5
2017_1112_1190,0.5
2017_1112_1195,0.5
2017_1112_1196,0.5
2017_1112_1199,0.5
2017_1112_1211,0.5
2017_1112_1233,0.5
2017_1112_1235,0.5
2017_1112_1240,0.5
2017_1112_1242,0.5
2017_1112_1243,0.5
2017_1112_1245,0.5
2017_1112_1246,0.5
2017_1112_1257,0.5
2017_1112_1266,0.5
2017_1112_1268,0.5
2017_1112_1274,0.5
2017_1112_1276,0.5
2017_1112_1277,0.5
2017_1112_1278,0.5
2017_1112_1291,0.5
2017_1112_1292,0.5
2017_1112_1297,0.5
2017_1112_1300,0.5
2017_1112_1305,0.5
2017_1112_1308,0.5
2017_1112_1309,0.5
2017_1112_1314,0.5
2017_1112_1315,0.5
2017_1112_1321,0.5
2017_1112_1323,0.5
2017_1112_1329,0.5
2017_1112_1332,0.5
2017_1112_1343,0.5
2017_1112_1344,0.5
2017_1112_1345,0.5
2017_1112_1348,0.5
2017_1112_1355,0.5
2017_1112_1371,0.5
2017_1112_1374,0.5
2017_1112_1376,0.5
2017_1112_1388,0.5
2017_1112_1407,0.5
2017_1112_1411,0.5
2017_1112_1413,0.5
2017_1112_1417,0.5
2017_1112_1423,0.5
2017_1112_1425,0.5
2017_1112_1433,0.5
2017_1112_1435,0.5
2017_1112_1436,0.5
2017_1112_1437,0.5
2017_1112_1438,0.5
2017_1112_1439,0.5
2017_1112_1448,0.5
2017_1112_1452,0.5
2017_1112_1455,0.5
2017_1112_1457,0.5
2017_1112_1458,0.5
2017_1112_1462,0.5
2017_1116_1124,0.5
2017_1116_1137,0.5
2017_1116_1139,0.5
2017_1116_1153,0.5
2017_1116_1166,0.5
2017_1116_1173,0.5
2017_1116_1181,0.5
2017_1116_1190,0.5
2017_1116_1195,0.5
2017_1116_1196,0.5
2017_1116_1199,0.5
2017_1116_1211,0.5
2017_1116_1233,0.5
2017_1116_1235,0.5
2017_1116_1240,0.5
2017_1116_1242,0.5
2017_1116_1243,0.5
2017_1116_1245,0.5
2017_1116_1246,0.5
2017_1116_1257,0.5
2017_1116_1266,0.5
2017_1116_1268,0.5
2017_1116_1274,0.5
2017_1116_1276,0.5
2017_1116_1277,0.5
2017_1116_1278,0.5
2017_1116_1291,0.5
2017_1116_1292,0.5
2017_1116_1297,0.5
2017_1116_1300,0.5
2017_1116_1305,0.5
2017_1116_1308,0.5
2017_1116_1309,0.5
2017_1116_1314,0.5
2017_1116_1315,0.5
2017_1116_1321,0.5
2017_1116_1323,0.5
2017_1116_1329,0.5
2017_1116_1332,0.5
2017_1116_1343,0.5
2017_1116_1344,0.5
2017_1116_1345,0.5
2017_1116_1348,0.5
2017_1116_1355,0.5
2017_1116_1371,0.5
2017_1116_1374,0.5
2017_1116_1376,0.5
2017_1116_1388,0.5
2017_1116_1407,0.5
2017_1116_1411,0.5
2017_1116_1413,0.5
2017_1116_1417,0.5
2017_1116_1423,0.5
2017_1116_1425,0.5
2017_1116_1433,0.5
2017_1116_1435,0.5
2017_1116_1436,0.5
2017_1116_1437,0.5
2017_1116_1438,0.5
2017_1116_1439,0.5
2017_1116_1448,0.5
2017_1116_1452,0.5
2017_1116_1455,0.5
2017_1116_1457,0.5
2017_1116_1458,0.5
2017_1116_1462,0.5
